                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3633,                  1.282,                 1.7841,                0.84831,                  0.845,                 0.8581,                0.61683,                 1.1999,                 1.4911,                 1.7611,             0.00046889,             0.00046889,             0.00046889
                      2,                 1.3796,                 1.2681,                  1.807,                0.76782,                0.82892,                0.81079,                 0.5859,                  1.298,                 1.2637,                 1.8365,             0.00093743,             0.00093743,             0.00093743
                      3,                  1.389,                 1.2373,                 1.8185,                0.77914,                0.81255,                0.82251,                0.59055,                 1.3303,                 1.2331,                 1.8344,              0.0013981,              0.0013981,              0.0013981
                      4,                 1.3696,                 1.2392,                 1.7903,                0.74156,                0.85226,                0.82375,                0.60361,                 1.3266,                 1.2477,                 1.8521,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.3758,                 1.1751,                 1.7813,                0.78437,                0.86466,                0.83111,                 0.5798,                 1.3495,                 1.3451,                 1.8544,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.3487,                 1.1844,                  1.788,                0.75241,                0.86376,                0.84122,                0.57127,                 1.3729,                 1.3634,                 1.8842,              0.0013701,              0.0013701,              0.0013701
                      7,                 1.3307,                 1.1043,                 1.7212,                0.82953,                0.81358,                0.83405,                0.59151,                 1.2713,                 1.2226,                 1.7958,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3315,                 1.1047,                 1.7397,                0.80053,                0.89071,                 0.8559,                0.60241,                 1.2645,                 1.1515,                 1.8173,              0.0013465,              0.0013465,              0.0013465
                      9,                 1.2822,                 1.0525,                 1.7085,                0.85824,                0.85724,                0.89207,                0.63978,                 1.1856,                 1.0209,                 1.7823,              0.0013347,              0.0013347,              0.0013347
                     10,                 1.2951,                 1.0905,                 1.7287,                0.80114,                0.85868,                0.85269,                0.61437,                  1.218,                 1.0188,                 1.7632,              0.0013229,              0.0013229,              0.0013229
                     11,                 1.2718,                 1.0237,                 1.7007,                0.78368,                0.86255,                0.85542,                0.60078,                 1.2191,                 1.0519,                 1.7893,              0.0013111,              0.0013111,              0.0013111
                     12,                 1.2639,                 1.0099,                 1.7059,                0.82301,                 0.8643,                0.87043,                0.60262,                 1.3271,                 1.0068,                 1.8776,              0.0012993,              0.0012993,              0.0012993
                     13,                 1.2725,                 1.0137,                 1.7183,                0.90856,                0.88679,                0.92742,                0.62742,                 1.3227,                 1.0173,                 1.8523,              0.0012875,              0.0012875,              0.0012875
                     14,                 1.2731,                0.98232,                 1.6956,                0.83657,                0.91384,                0.88373,                0.64746,                 1.1295,                0.90749,                  1.704,              0.0012757,              0.0012757,              0.0012757
                     15,                 1.2036,                0.94694,                 1.6616,                0.83401,                0.90102,                0.91126,                0.67142,                 1.0992,                 0.8831,                 1.6541,               0.001264,               0.001264,               0.001264
                     16,                 1.1949,                0.93682,                 1.6391,                0.88266,                0.88721,                0.91479,                0.67701,                 1.0793,                0.92665,                 1.6451,              0.0012522,              0.0012522,              0.0012522
                     17,                 1.1953,                0.93519,                 1.6439,                0.84494,                0.87136,                0.88003,                0.63566,                 1.1392,                 1.0674,                 1.6884,              0.0012404,              0.0012404,              0.0012404
                     18,                 1.2163,                0.93506,                 1.6512,                0.88286,                0.88939,                0.93152,                0.67256,                  1.149,                0.93265,                 1.6894,              0.0012286,              0.0012286,              0.0012286
                     19,                 1.1945,                0.91068,                 1.6282,                0.86104,                0.89124,                0.91809,                0.67331,                 1.1035,                0.90238,                 1.6653,              0.0012168,              0.0012168,              0.0012168
                     20,                 1.1982,                 0.9084,                  1.634,                 0.8718,                0.92858,                0.94677,                0.68157,                 1.1485,                0.82248,                 1.6726,               0.001205,               0.001205,               0.001205
                     21,                 1.1672,                0.85422,                  1.612,                0.86978,                0.93249,                0.93998,                0.69826,                 1.0635,                0.84652,                 1.6142,              0.0011932,              0.0011932,              0.0011932
                     22,                 1.1475,                0.85691,                 1.6062,                0.89278,                0.92808,                0.95023,                0.68731,                 1.1229,                0.80895,                 1.6582,              0.0011814,              0.0011814,              0.0011814
                     23,                 1.1823,                0.88489,                 1.6177,                0.92023,                0.93635,                0.96328,                0.73661,                0.96302,                0.85361,                 1.5304,              0.0011696,              0.0011696,              0.0011696
                     24,                 1.1408,                0.84197,                 1.5839,                0.93322,                0.92036,                0.96466,                 0.7136,                  1.032,                0.74756,                 1.5966,              0.0011578,              0.0011578,              0.0011578
